"year","CSA","Nsc","r"
1983,1045.493506,0.794295311528544,0.024717822773167
1984,1071.65786,0.814173219513726,0.0244868308992261
1985,1098.223289,0.834355837179306,0.0243100633628519
1986,1125.248326,0.85488763394303,0.0242624924004673
1987,1152.883549,0.875883008793254,0.0237403480763223
1988,1180.580877,0.896925566825431,0.0234537787634658
1989,1208.59722,0.91821049089561,0.023186598417048
1990,1236.947886,0.939749410987679,0.0226500925956113
1991,1265.284573,0.961277710780248,0.0222445251510163
1992,1293.745605,0.982900479500596,0.0219440202954579
1993,1322.449371,1.00470766111021,0.0206859134356611
1994,1350.090348,1.02570740746078,0.0202847148514613
1995,1377.756194,1.04672604759691,0.0202821278384946
1996,1405.985327,1.06817263512876,0.0198533276389489
1997,1434.177745,1.08959132908481,0.019606651785854
1998,1462.574643,1.11116537312613,0.019380448884313
1999,1491.196452,1.13291028934579,0.0193488196776798
2000,1520.330287,1.15504420831758,0.018848714954125
2001,1549.258331,1.17702178119492,0.0188224717389894
2002,1578.695372,1.19938605559489,0.0175501566246637
2003,1606.646277,1.22062126429496,0.0178336047058432
2004,1635.555584,1.24258460206594,0.0173703318629503
2005,1664.213909,1.26435726067465,0.0165750005315692
2006,1692.028129,1.28548862534887,0.016353031459987
2007,1719.925399,1.30668308580059,0.0151354245729081
2008,1746.155199,1.32661071523374,0.015158263657919
2009,1772.825507,1.34687301287581,0.0153863881537299
2010,1800.313819,1.36775677467646,0.0149164018521417
2011,1827.369307,1.38831170605211,0.014637718578721
2012,1854.314552,1.40878288224657,0.0138425038125244
2013,1880.161388,1.42841956151318,0.0133347754321348
2014,1905.400825,1.44759478006755,0.012730130802222
2015,1929.811875,1.46614064616161,0.0121091188184518
2016,1953.322254,1.48400224329712,0.0123387121054807
2017,1977.573039,1.50242635087487,0.0119189688452557
2018,2001.284699,1.52044086771163,0.0117865179324032
2019,2025.012436,1.53846759876651,0.0115077508944303
2020,2048.450375,1.5562741608855,0.0111575834231304
2021,2071.434114,1.57373565253927,0.0093181222966413
2022,2090.826199,1.58846844820741,0.0104509550363172
2023,2112.791911,1.60515651174473,NA
