"year","EUNA","Nsc","r"
1957,770.604226,0.790905094166336,0.0123751668094214
1958,780.199833,0.800753488714224,0.0122674177106786
1959,789.829817,0.810637165892943,0.0119032238570218
1960,799.287515,0.82034401835353,0.0118954254560423
1961,808.852155,0.83016063010394,0.0119057758232805
1962,818.539722,0.840103407254473,0.0114130986497309
1963,827.935311,0.849746514509887,0.0108915298357512
1964,837.002079,0.859052138274821,0.0104180973073274
1965,845.767629,0.868048608725231,0.00959179641785299
1966,853.919091,0.876414813585238,0.00910937099365355
1967,861.733294,0.884434874663322,0.00826240180807985
1968,868.882776,0.891772703270624,0.00819515360365452
1969,876.032661,0.899110945494595,0.00806027519516403
1970,883.122259,0.906387312512327,0.00725657508478474
1971,889.55401,0.912988502148561,0.00857229824771808
1972,897.21231,0.920848553103763,0.00774618050702863
1973,904.189266,0.928009310670352,0.00713251325667704
1974,910.661462,0.934652010793363,0.00675937069548008
1975,916.837811,0.940991070095964,0.00615110387090057
1976,922.494756,0.946797042172113,0.0062579810912049
1977,928.285812,0.952740658280705,0.00625664297470989
1978,934.111972,0.958720303172282,0.00598971242821017
1979,939.723824,0.964479994314318,0.00624579407631983
1980,945.611513,0.970522789131494,0.00668127560215436
1981,951.950557,0.977028829486046,0.00586665340847515
1982,957.551735,0.98277756543125,0.00569612687030712
1983,963.021635,0.988391564976823,0.00573374825040128
1984,968.559219,0.994075031595879,0.00553880087504676
1985,973.93876,0.999596291715696,0.00559983156943464
1986,979.407952,1.00520956460965,0.00583438187634695
1987,985.138894,1.01109148306953,0.00576637875118791
1988,990.835988,1.01693866183461,0.00599378137467837
1989,996.792676,1.02305227336775,0.00558564330346143
1990,1002.375983,1.02878266751769,0.00605875442808496
1991,1008.467568,1.03503472978973,0.00546780248840504
1992,1013.996772,1.0407095956453,0.00363552916486397
1993,1017.689896,1.04450001164152,0.00372871009174617
1994,1021.49165,1.0484019193964,0.00417450411634486
1995,1025.764784,1.05278762522908,0.0027308956106201
1996,1028.569869,1.05566660764471,0.00300955077009504
1997,1031.670065,1.05884847549151,0.00271974925252749
1998,1034.479768,1.06173219756416,0.00184809829484264
1999,1036.393356,1.06369619730134,0.00256875224094702
2000,1039.059016,1.06643208169204,0.00308491304352116
2001,1042.269372,1.06972701160394,0.00303896417679517
2002,1045.441609,1.07298281830542,0.00463760501187996
2003,1050.301214,1.07797044518373,0.00369704828364269
2004,1054.191415,1.08196312999446,0.00397491934694325
2005,1058.39008,1.086272405009,0.00365744393097426
2006,1062.26817,1.09025265976643,0.00381671883737731
2007,1066.330296,1.09442179878507,0.00491744840688826
2008,1071.586834,1.09981681550261,0.00467002805970662
2009,1076.602878,1.10496500262424,0.00427984348975443
2010,1081.220444,1.10970421420501,0.00426555163590154
2011,1085.842296,1.11444782469655,0.00423476679632633
2012,1090.450335,1.11917725829716,0.00397722287688227
2013,1094.795935,1.12363733918077,0.00402023863169821
2014,1099.206135,1.12816372189268,0.00419387916826912
2015,1103.825753,1.13290503953153,0.00474571031378856
2016,1109.07664,1.13829425637861,0.00465012431032053
2017,1114.245994,1.14359979231289,0.00415907670489231
2018,1118.889879,1.1483660162438,0.00383983168012259
2019,1123.194487,1.15278402523041,0.00357039536111628
2020,1127.211903,1.15690727640472,8.24841940313126e-05
2021,1127.304884,1.15700270690469,8.97445416912792e-05
2022,1127.406058,1.15710654624179,7.15067273463708e-05
2023,1127.486678,1.15718929010244,NA
