"year","NAWA","Nsc","r"
1975,190.521929,0.594350627531472,0.028057183678164
1976,195.943134,0.611262573629428,0.0284554713436653
1977,201.598875,0.628906176285296,0.0279259002967508
1978,207.308051,0.646716474323417,0.0284687291925748
1979,213.294659,0.665392246924821,0.0277557599793479
1980,219.297739,0.684119405440635,0.0291517753556798
1981,225.784752,0.704356237324459,0.0281104670671014
1982,232.221716,0.724436936763511,0.0285970034785694
1983,238.958427,0.745452724454534,0.0283082284794121
1984,245.819572,0.766856695418603,0.0280592230148493
1985,252.814759,0.78867882269273,0.0266955285949248
1986,259.654674,0.810016564725102,0.0269368331720606
1987,266.744002,0.83213237348104,0.0260982526849211
1988,273.797192,0.854135446432284,0.0255351538310981
1989,280.878674,0.876226778871778,0.0252523579224304
1990,288.061837,0.89863531451447,0.020513174182555
1991,294.031923,0.91725954522188,0.02506143076287
1992,301.493897,0.940537857344804,0.0233811041541424
1993,308.626213,0.962787771108551,0.0242969644200035
1994,316.216733,0.986467094265573,0.0221304882168322
1995,323.292773,1.00854144988706,0.0216619423745323
1996,330.372324,1.03062675839499,0.020760319609753
1997,337.302648,1.05224653959297,0.0207943206372235
1998,344.390061,1.07435637433081,0.0205488171027135
1999,351.54008,1.09666151422634,0.0201555451533821
2000,358.69745,1.11898958624043,0.0207603876992661
2001,366.221984,1.14246306001983,0.0202500547468292
2002,373.713596,1.16583383060143,0.0203912767353923
2003,381.41232,1.18985070605828,0.0195707778098759
2004,388.950378,1.21336636919576,0.0201525185763292
2005,396.868222,1.23806680958495,0.0203930835267691
2006,405.044677,1.26357401070211,0.0210085362377498
2007,413.644087,1.29040065872487,0.0219050554806195
2008,422.804952,1.31897881710306,0.0221100973701274
2009,432.257322,1.34846635205847,0.02119970289105
2010,441.518873,1.37735860964613,0.0204533426536884
2011,450.642395,1.40582027311163,0.0210344966191337
2012,460.221827,1.43570418962707,0.0217324187752245
2013,470.333033,1.46724702389682,0.0221473604368141
2014,480.865875,1.50010519033072,0.0229863024296025
2015,492.04722,1.53498642133797,0.0222024134405207
2016,503.094035,1.56944797367441,0.0194118671654986
2017,512.955434,1.60021151210147,0.0176091438283348
2018,522.068138,1.62863942782401,0.0166733115358855
2019,530.845715,1.6560218841404,0.016766218559552
2020,539.821021,1.68402117420315,0.0151785729469075
2021,548.077234,1.70977718771477,0.0157480666634372
2022,556.776711,1.73691600391973,0.0200283827857163
2023,568.040469,1.77205432983739,NA
